Year;GDP Constant Price;GDP Constant Price (t-1);GDP Deflator;GDP Deflator (t-1);GDP Current Price;Public sector non-interest revenues;Public sector non-interest expenditures;Debt  t-1;New Debt;Principal Payment;Interest Payment
2021;1365.26;1389.95;114.25;112.66;1559.88;745.56;712.86;1988.36;0.00;310.87;85.16
2022;1674.50;1674.50;115.74;114.25;1501.40;681.20;664.60;1677.49;378.22;176.46;84.06
2023;1674.50;1674.50;117.24;115.74;1501.40;681.20;664.60;1501.04;641.36;179.72;87.27
2024;1674.50;1674.50;118.89;117.24;1501.40;681.20;664.60;1321.32;888.09;119.25;93.11
2025;1674.50;1674.50;120.61;118.89;1501.40;681.20;664.60;1202.07;1079.96;135.13;97.77
2026;1674.50;1674.50;122.38;120.61;1501.40;681.20;664.60;1066.93;1292.11;64.93;103.68
