Year;GDP Constant Price;GDP Constant Price (t-1);GDP Deflator;GDP Deflator (t-1);GDP Current Price;Public sector non-interest revenues;Public sector non-interest expenditures;Debt  t-1;New Debt;Principal Payment;Interest Payment
2021;1365.26;1389.95;114.25;112.66;1559.878641;745.5630538;712.862408;1988.363;0;310.8700998;85.15665926
2022;1375.49;1365.26;115.74;114.25;1559.878641;745.5630538;712.862408;1677.4929;378.2196133;176.4577074;84.06103614
2023;1390.07;1375.49;117.24;115.74;1559.878641;745.5630538;712.862408;1501.035193;625.2579504;179.7179593;87.88630118
2024;1409.53;1390.07;118.89;117.24;1559.878641;745.5630538;712.862408;1321.317233;855.9210814;119.2502342;93.99189311
2025;1429.28;1409.53;120.61;118.89;1559.878641;745.5630538;712.862408;1202.066999;1031.258705;135.1321902;98.69189116
2026;1446.43;1429.28;122.38;120.61;1559.878641;745.5630538;712.862408;1066.934809;1226.169687;64.92998278;104.4675623
