country;year;dcapb_3yr;3y change
158;1996;-0.927255;-2.781765
158;1997;-0.2592167;-0.7776501
158;1998;-1.989307;-5.967921
158;1999;-0.3793447;-1.1380341
158;2000;-1.000709;-3.002127
158;2001;1.513054;4.539162
158;2002;-0.4094841;-1.2284523
158;2003;-0.184864;-0.554592
158;2004;-0.3385738;-1.0157214
158;2005;-0.0918903;-0.2756709
158;2006;1.564457;4.693371
158;2007;0.8311012;2.4933036
158;2008;1.462949;4.388847
158;2009;-1.593249;-4.779747
158;2010;-0.8963646;-2.6890938
174;1990;-1.263051;-3.789153
174;1991;0.5528539;1.6585617
174;1992;1.675288;5.025864
174;1993;1.760944;5.282832
174;1994;2.280967;6.842901
174;1995;1.364031;4.092093
174;1996;1.65372;4.96116
174;1997;-0.1767775;-0.5303325
174;1998;0.7888525;2.3665575
174;1999;0.2025283;0.6075849
174;2000;0.1230877;0.3692631
174;2001;-0.7734558;-2.3203674
174;2002;-1.184324;-3.552972
174;2003;-1.631265;-4.893795
174;2004;-1.817192;-5.451576
174;2005;-0.8393736;-2.5181208
174;2006;-0.4965366;-1.4896098
174;2007;-0.3043619;-0.9130857
174;2008;-2.012803;-6.038409
174;2009;-3.290894;-9.872682
174;2010;-0.6367807;-1.9103421
176;2009;-2.746043;-8.238129
176;2010;-0.7461798;-2.2385394
178;1990;0.7771574;2.3314722
178;1991;0.191527;0.574581
178;1992;0.0889724;0.2669172
178;1993;0.9069195;2.7207585
178;1994;0.7721907;2.3165721
178;1995;0.1905055;0.5715165
178;1996;0.1908448;0.5725344
178;1997;-0.108631;-0.325893
178;1998;0.4528495;1.3585485
182;2006;-0.2953007;-0.8859021
182;2007;0.0354625;0.1063875
182;2008;0.707368;2.122104
182;2009;-1.877931;-5.633793
182;2010;-2.222777;-6.668331
184;1996;1.088159;3.264477
184;1997;0.791523;2.374569
184;1998;1.089691;3.269073
184;1999;0.6380249;1.9140747
184;2000;0.2226451;0.6679353
186;2001;1.378972;4.136916
186;2002;-1.871367;-5.614101
186;2003;-1.869778;-5.609334
186;2004;-0.9547847;-2.8643541
196;1992;-0.0644618;-0.1933854
196;1993;0.5735194;1.7205582
