Debt Maturity Type;Bond Type;Debt Currency Type;Debt Series;Concat;Year;Debt Issuance;Interest Payment Type;Grace Period;Maturity;Rate;
Long-term;Foreign Debt;foreign;30-year-bond;Long-termForeign Debtforeign30-year-bond;2022;76916.0;Annual;30;30;6;
Long-term;Foreign Debt;foreign;30-year-bond;Long-termForeign Debtforeign30-year-bond;2023;72867.8;Annual;30;30;7;
Long-term;Foreign Debt;foreign;30-year-bond;Long-termForeign Debtforeign30-year-bond;2024;68819.6;Annual;30;30;8;
Long-term;Foreign Debt;foreign;30-year-bond;Long-termForeign Debtforeign30-year-bond;2025;64771.4;Annual;30;30;9;
Long-term;Foreign Debt;foreign;30-year-bond;Long-termForeign Debtforeign30-year-bond;2026;60723.1;Annual;30;30;10;
Long-term;Domestic Debt;foreign;50-year-bond;Long-termDomestic Debtforeign50-year-bond;2021;1385.3;Annual;50;50;4;
Long-term;Domestic Debt;foreign;50-year-bond;Long-termDomestic Debtforeign50-year-bond;2022;1316.1;Annual;50;50;5;
Long-term;Domestic Debt;foreign;50-year-bond;Long-termDomestic Debtforeign50-year-bond;2023;1246.8;Annual;50;50;5;
Long-term;Domestic Debt;foreign;50-year-bond;Long-termDomestic Debtforeign50-year-bond;2024;1177.5;Annual;50;50;6;
Long-term;Domestic Debt;foreign;50-year-bond;Long-termDomestic Debtforeign50-year-bond;2025;1108.3;Annual;50;50;7;
Long-term;Domestic Debt;foreign;50-year-bond;Long-termDomestic Debtforeign50-year-bond;2026;1039.0;Annual;50;50;8;
Long-term;Foreign Debt;foreign;50-year-bond;Long-termForeign Debtforeign50-year-bond;2021;5541.3;Annual;50;50;4;
Long-term;Foreign Debt;foreign;50-year-bond;Long-termForeign Debtforeign50-year-bond;2022;5264.2;Annual;50;50;5;
Long-term;Foreign Debt;foreign;50-year-bond;Long-termForeign Debtforeign50-year-bond;2023;4987.1;Annual;50;50;5;
Long-term;Foreign Debt;foreign;50-year-bond;Long-termForeign Debtforeign50-year-bond;2024;4710.1;Annual;50;50;6;
Long-term;Foreign Debt;foreign;50-year-bond;Long-termForeign Debtforeign50-year-bond;2025;4433.0;Annual;50;50;7;
Long-term;Foreign Debt;foreign;50-year-bond;Long-termForeign Debtforeign50-year-bond;2026;4156.0;Annual;50;50;8;
Long-term;Domestic Debt;foreign;5-year-bond;Long-termDomestic Debtforeign5-year-bond;2021;12426.5;Annual;5;5;2;
Long-term;Domestic Debt;foreign;5-year-bond;Long-termDomestic Debtforeign5-year-bond;2022;11805.2;Annual;5;5;2;
Long-term;Domestic Debt;foreign;5-year-bond;Long-termDomestic Debtforeign5-year-bond;2023;11183.9;Annual;5;5;3;
Long-term;Domestic Debt;foreign;5-year-bond;Long-termDomestic Debtforeign5-year-bond;2024;10562.6;Annual;5;5;3;
Long-term;Domestic Debt;foreign;5-year-bond;Long-termDomestic Debtforeign5-year-bond;2025;9941.2;Annual;5;5;3;
Long-term;Domestic Debt;foreign;5-year-bond;Long-termDomestic Debtforeign5-year-bond;2026;9319.9;Annual;5;5;4;
Long-term;Foreign Debt;foreign;5-year-bond;Long-termForeign Debtforeign5-year-bond;2021;49706.2;Annual;5;5;2;
Long-term;Foreign Debt;foreign;5-year-bond;Long-termForeign Debtforeign5-year-bond;2022;47220.9;Annual;5;5;2;
Long-term;Foreign Debt;foreign;5-year-bond;Long-termForeign Debtforeign5-year-bond;2023;44735.6;Annual;5;5;3;
Long-term;Foreign Debt;foreign;5-year-bond;Long-termForeign Debtforeign5-year-bond;2024;42250.2;Annual;5;5;3;
Long-term;Foreign Debt;foreign;5-year-bond;Long-termForeign Debtforeign5-year-bond;2025;39764.9;Annual;5;5;3;
Long-term;Foreign Debt;foreign;5-year-bond;Long-termForeign Debtforeign5-year-bond;2026;37279.6;Annual;5;5;4;
Short-term;Domestic Debt;foreign;SPN;Short-termDomestic DebtforeignSPN;2021;77.0;Semi-annual;1;1;4;
Short-term;Domestic Debt;foreign;SPN;Short-termDomestic DebtforeignSPN;2022;73.1;Semi-annual;1;1;5;
Short-term;Domestic Debt;foreign;SPN;Short-termDomestic DebtforeignSPN;2023;69.3;Semi-annual;1;1;6;
Short-term;Domestic Debt;foreign;SPN;Short-termDomestic DebtforeignSPN;2024;65.4;Semi-annual;1;1;6;
Short-term;Domestic Debt;foreign;SPN;Short-termDomestic DebtforeignSPN;2025;61.6;Semi-annual;1;1;7;
Short-term;Domestic Debt;foreign;SPN;Short-termDomestic DebtforeignSPN;2026;57.7;Semi-annual;1;1;8;
Short-term;Foreign Debt;foreign;SPN;Short-termForeign DebtforeignSPN;2021;307.8;Semi-annual;1;1;4;
Short-term;Foreign Debt;foreign;SPN;Short-termForeign DebtforeignSPN;2022;292.5;Semi-annual;1;1;5;
Short-term;Foreign Debt;foreign;SPN;Short-termForeign DebtforeignSPN;2023;277.1;Semi-annual;1;1;6;
Short-term;Foreign Debt;foreign;SPN;Short-termForeign DebtforeignSPN;2024;261.7;Semi-annual;1;1;6;
Short-term;Foreign Debt;foreign;SPN;Short-termForeign DebtforeignSPN;2025;246.3;Semi-annual;1;1;7;
Short-term;Foreign Debt;foreign;SPN;Short-termForeign DebtforeignSPN;2026;230.9;Semi-annual;1;1;8;
Long-term;Domestic Debt;foreign;zero-coupon-bond;Long-termDomestic Debtforeignzero-coupon-bond;2021;0;Annual;3;3;0;
Long-term;Domestic Debt;foreign;zero-coupon-bond;Long-termDomestic Debtforeignzero-coupon-bond;2022;0;Annual;3;3;0;
Long-term;Domestic Debt;foreign;zero-coupon-bond;Long-termDomestic Debtforeignzero-coupon-bond;2023;0;Annual;3;3;0;
Long-term;Domestic Debt;foreign;zero-coupon-bond;Long-termDomestic Debtforeignzero-coupon-bond;2024;0;Annual;3;3;0;
Long-term;Domestic Debt;foreign;zero-coupon-bond;Long-termDomestic Debtforeignzero-coupon-bond;2025;0;Annual;3;3;0;
Long-term;Domestic Debt;foreign;zero-coupon-bond;Long-termDomestic Debtforeignzero-coupon-bond;2026;0;Annual;3;3;0;
Long-term;Foreign Debt;foreign;zero-coupon-bond;Long-termForeign Debtforeignzero-coupon-bond;2021;0;Annual;;;0;
Long-term;Foreign Debt;foreign;zero-coupon-bond;Long-termForeign Debtforeignzero-coupon-bond;2022;0;Annual;;;0;
Long-term;Foreign Debt;foreign;zero-coupon-bond;Long-termForeign Debtforeignzero-coupon-bond;2023;0;Annual;;;0;
Long-term;Foreign Debt;foreign;zero-coupon-bond;Long-termForeign Debtforeignzero-coupon-bond;2024;0;Annual;;;0;
Long-term;Foreign Debt;foreign;zero-coupon-bond;Long-termForeign Debtforeignzero-coupon-bond;2025;0;Annual;;;0;
Long-term;Foreign Debt;foreign;zero-coupon-bond;Long-termForeign Debtforeignzero-coupon-bond;2026;0;Annual;;;0;
Long-term;Domestic Debt;local;10-year-bond;Long-termDomestic Debtlocal10-year-bond;2021;230697.8;Annual;10;10;6;
Long-term;Domestic Debt;local;10-year-bond;Long-termDomestic Debtlocal10-year-bond;2022;219162.9;Annual;10;10;8;
Long-term;Domestic Debt;local;10-year-bond;Long-termDomestic Debtlocal10-year-bond;2023;207628.0;Annual;10;10;9;
Long-term;Domestic Debt;local;10-year-bond;Long-termDomestic Debtlocal10-year-bond;2024;196093.1;Annual;10;10;10;
Long-term;Domestic Debt;local;10-year-bond;Long-termDomestic Debtlocal10-year-bond;2025;184558.2;Annual;10;10;11;
Long-term;Domestic Debt;local;10-year-bond;Long-termDomestic Debtlocal10-year-bond;2026;173023.3;Annual;10;10;13;
Long-term;Foreign Debt;local;10-year-bond;Long-termForeign Debtlocal10-year-bond;2021;57674.4;Annual;10;10;6;
Long-term;Foreign Debt;local;10-year-bond;Long-termForeign Debtlocal10-year-bond;2022;54790.7;Annual;10;10;8;
Long-term;Foreign Debt;local;10-year-bond;Long-termForeign Debtlocal10-year-bond;2023;51907.0;Annual;10;10;9;
Long-term;Foreign Debt;local;10-year-bond;Long-termForeign Debtlocal10-year-bond;2024;49023.3;Annual;10;10;10;
Long-term;Foreign Debt;local;10-year-bond;Long-termForeign Debtlocal10-year-bond;2025;46139.6;Annual;10;10;11;
Long-term;Foreign Debt;local;10-year-bond;Long-termForeign Debtlocal10-year-bond;2026;43255.8;Annual;10;10;13;
Long-term;Domestic Debt;local;20-year-bond;Long-termDomestic Debtlocal20-year-bond;2021;170059.4;Annual;20;20;8;
Long-term;Domestic Debt;local;20-year-bond;Long-termDomestic Debtlocal20-year-bond;2022;161556.5;Annual;20;20;10;
Long-term;Domestic Debt;local;20-year-bond;Long-termDomestic Debtlocal20-year-bond;2023;153053.5;Annual;20;20;12;
Long-term;Domestic Debt;local;20-year-bond;Long-termDomestic Debtlocal20-year-bond;2024;144550.5;Annual;20;20;14;
Long-term;Domestic Debt;local;20-year-bond;Long-termDomestic Debtlocal20-year-bond;2025;136047.5;Annual;20;20;15;
Long-term;Domestic Debt;local;20-year-bond;Long-termDomestic Debtlocal20-year-bond;2026;127544.6;Annual;20;20;17;
Long-term;Foreign Debt;local;20-year-bond;Long-termForeign Debtlocal20-year-bond;2021;42514.9;Annual;20;20;8;
Long-term;Foreign Debt;local;20-year-bond;Long-termForeign Debtlocal20-year-bond;2022;40389.1;Annual;20;20;10;
Long-term;Foreign Debt;local;20-year-bond;Long-termForeign Debtlocal20-year-bond;2023;38263.4;Annual;20;20;12;
Long-term;Foreign Debt;local;20-year-bond;Long-termForeign Debtlocal20-year-bond;2024;36137.6;Annual;20;20;14;
Long-term;Foreign Debt;local;20-year-bond;Long-termForeign Debtlocal20-year-bond;2025;34011.9;Annual;20;20;15;
Long-term;Foreign Debt;local;20-year-bond;Long-termForeign Debtlocal20-year-bond;2026;31886.1;Annual;20;20;17;
Long-term;Domestic Debt;local;2-year-bond;Long-termDomestic Debtlocal2-year-bond;2021;50433.7;Annual;2;2;6;
Long-term;Domestic Debt;local;2-year-bond;Long-termDomestic Debtlocal2-year-bond;2022;47912.0;Annual;2;2;7;
Long-term;Domestic Debt;local;2-year-bond;Long-termDomestic Debtlocal2-year-bond;2023;45390.3;Annual;2;2;8;
Long-term;Domestic Debt;local;2-year-bond;Long-termDomestic Debtlocal2-year-bond;2024;42868.6;Annual;2;2;9;
Long-term;Domestic Debt;local;2-year-bond;Long-termDomestic Debtlocal2-year-bond;2025;40346.9;Annual;2;2;10;
Long-term;Domestic Debt;local;2-year-bond;Long-termDomestic Debtlocal2-year-bond;2026;37825.2;Annual;2;2;12;
Long-term;Foreign Debt;local;2-year-bond;Long-termForeign Debtlocal2-year-bond;2021;12608.4;Annual;2;2;6;
Long-term;Foreign Debt;local;2-year-bond;Long-termForeign Debtlocal2-year-bond;2022;11978.0;Annual;2;2;7;
Long-term;Foreign Debt;local;2-year-bond;Long-termForeign Debtlocal2-year-bond;2023;11347.6;Annual;2;2;8;
Long-term;Foreign Debt;local;2-year-bond;Long-termForeign Debtlocal2-year-bond;2024;10717.2;Annual;2;2;9;
Long-term;Foreign Debt;local;2-year-bond;Long-termForeign Debtlocal2-year-bond;2025;10086.7;Annual;2;2;10;
Long-term;Foreign Debt;local;2-year-bond;Long-termForeign Debtlocal2-year-bond;2026;9456.3;Annual;2;2;12;
Long-term;Domestic Debt;local;30-year-bond;Long-termDomestic Debtlocal30-year-bond;2021;52987.9;Annual;30;30;8;
Long-term;Domestic Debt;local;30-year-bond;Long-termDomestic Debtlocal30-year-bond;2022;50338.6;Annual;30;30;10;
Long-term;Domestic Debt;local;30-year-bond;Long-termDomestic Debtlocal30-year-bond;2023;47689.2;Annual;30;30;11;
Long-term;Domestic Debt;local;30-year-bond;Long-termDomestic Debtlocal30-year-bond;2024;45039.8;Annual;30;30;13;
Long-term;Domestic Debt;local;30-year-bond;Long-termDomestic Debtlocal30-year-bond;2025;42390.4;Annual;30;30;15;
Long-term;Domestic Debt;local;30-year-bond;Long-termDomestic Debtlocal30-year-bond;2026;39741.0;Annual;30;30;16;
Long-term;Foreign Debt;local;30-year-bond;Long-termForeign Debtlocal30-year-bond;2021;13247.0;Annual;30;30;8;
Long-term;Foreign Debt;local;30-year-bond;Long-termForeign Debtlocal30-year-bond;2022;12584.6;Annual;30;30;10;
Long-term;Foreign Debt;local;30-year-bond;Long-termForeign Debtlocal30-year-bond;2023;11922.3;Annual;30;30;11;
Long-term;Foreign Debt;local;30-year-bond;Long-termForeign Debtlocal30-year-bond;2024;11259.9;Annual;30;30;13;
Long-term;Foreign Debt;local;30-year-bond;Long-termForeign Debtlocal30-year-bond;2025;10597.6;Annual;30;30;15;
Long-term;Foreign Debt;local;30-year-bond;Long-termForeign Debtlocal30-year-bond;2026;9935.2;Annual;30;30;16;
Long-term;Domestic Debt;local;50-year-bond;Long-termDomestic Debtlocal50-year-bond;2021;0;Annual;50;50;0;
Long-term;Domestic Debt;local;50-year-bond;Long-termDomestic Debtlocal50-year-bond;2022;0;Annual;50;50;0;
Long-term;Domestic Debt;local;50-year-bond;Long-termDomestic Debtlocal50-year-bond;2023;0;Annual;50;50;0;
Long-term;Domestic Debt;local;50-year-bond;Long-termDomestic Debtlocal50-year-bond;2024;0;Annual;50;50;0;
Long-term;Domestic Debt;local;50-year-bond;Long-termDomestic Debtlocal50-year-bond;2025;0;Annual;50;50;0;
Long-term;Domestic Debt;local;50-year-bond;Long-termDomestic Debtlocal50-year-bond;2026;0;Annual;50;50;0;
Long-term;Foreign Debt;local;50-year-bond;Long-termForeign Debtlocal50-year-bond;2021;0;Annual;50;50;0;
Long-term;Foreign Debt;local;50-year-bond;Long-termForeign Debtlocal50-year-bond;2022;0;Annual;50;50;0;
Long-term;Foreign Debt;local;50-year-bond;Long-termForeign Debtlocal50-year-bond;2023;0;Annual;50;50;0;
Long-term;Foreign Debt;local;50-year-bond;Long-termForeign Debtlocal50-year-bond;2024;0;Annual;50;50;0;
Long-term;Foreign Debt;local;50-year-bond;Long-termForeign Debtlocal50-year-bond;2025;0;Annual;50;50;0;
Long-term;Foreign Debt;local;50-year-bond;Long-termForeign Debtlocal50-year-bond;2026;0;Annual;50;50;0;
Long-term;Domestic Debt;local;5-year-bond;Long-termDomestic Debtlocal5-year-bond;2021;214584.0;Annual;5;5;5;
Long-term;Domestic Debt;local;5-year-bond;Long-termDomestic Debtlocal5-year-bond;2022;203854.8;Annual;5;5;6;
Long-term;Domestic Debt;local;5-year-bond;Long-termDomestic Debtlocal5-year-bond;2023;193125.6;Annual;5;5;6;
Long-term;Domestic Debt;local;5-year-bond;Long-termDomestic Debtlocal5-year-bond;2024;182396.4;Annual;5;5;7;
Long-term;Domestic Debt;local;5-year-bond;Long-termDomestic Debtlocal5-year-bond;2025;171667.2;Annual;5;5;8;
Long-term;Domestic Debt;local;5-year-bond;Long-termDomestic Debtlocal5-year-bond;2026;160938.0;Annual;5;5;9;
Long-term;Foreign Debt;local;5-year-bond;Long-termForeign Debtlocal5-year-bond;2021;53646.0;Annual;5;5;5;
Long-term;Foreign Debt;local;5-year-bond;Long-termForeign Debtlocal5-year-bond;2022;50963.7;Annual;5;5;6;
Long-term;Foreign Debt;local;5-year-bond;Long-termForeign Debtlocal5-year-bond;2023;48281.4;Annual;5;5;6;
Long-term;Foreign Debt;local;5-year-bond;Long-termForeign Debtlocal5-year-bond;2024;45599.1;Annual;5;5;7;
Long-term;Foreign Debt;local;5-year-bond;Long-termForeign Debtlocal5-year-bond;2025;42916.8;Annual;5;5;8;
Long-term;Foreign Debt;local;5-year-bond;Long-termForeign Debtlocal5-year-bond;2026;40234.5;Annual;5;5;9;
Short-term;Domestic Debt;local;SPN;Short-termDomestic DebtlocalSPN;2021;17694.2;Semi-annual;1;1;1;
Short-term;Domestic Debt;local;SPN;Short-termDomestic DebtlocalSPN;2022;16809.5;Semi-annual;1;1;1;
Short-term;Domestic Debt;local;SPN;Short-termDomestic DebtlocalSPN;2023;15924.8;Semi-annual;1;1;1;
